Codepoint,Form,Name
"10F4E","◌𐽎","SOGDIAN COMBINING LONG HOOK BELOW"
"10F4F","◌𐽏","SOGDIAN COMBINING RESH BELOW"
"10F50","◌𐽐","SOGDIAN COMBINING STROKE BELOW"
"10F82","◌𐾂","OLD UYGHUR COMBINING DOT ABOVE"
"10F83","◌𐾃","OLD UYGHUR COMBINING DOT BELOW"
"10F84","◌𐾄","OLD UYGHUR COMBINING TWO DOTS ABOVE"
"10F85","◌𐾅","OLD UYGHUR COMBINING TWO DOTS BELOW"
"11046","◌𑁆","BRAHMI VIRAMA"
"11070","◌𑁰","BRAHMI SIGN OLD TAMIL VIRAMA"
"1107F","◌𑁿","BRAHMI NUMBER JOINER"
"110B9","◌𑂹","KAITHI SIGN VIRAMA"
"110BA","◌𑂺","KAITHI SIGN NUKTA"
"11100","◌𑄀","CHAKMA SIGN CANDRABINDU"
"11101","◌𑄁","CHAKMA SIGN ANUSVARA"
"11102","◌𑄂","CHAKMA SIGN VISARGA"
"11127","◌𑄧","CHAKMA VOWEL SIGN A"
"11133","◌𑄳","CHAKMA VIRAMA"
"11134","◌𑄴","CHAKMA MAAYYAA"
"11173","◌𑅳","MAHAJANI SIGN NUKTA"
"111C0","◌𑇀","SHARADA SIGN VIRAMA"
"111CA","◌𑇊","SHARADA SIGN NUKTA"
"11235","◌𑈵","KHOJKI SIGN VIRAMA"
"11236","◌𑈶","KHOJKI SIGN NUKTA"
"112E9","◌𑋩","KHUDAWADI SIGN NUKTA"
"112EA","◌𑋪","KHUDAWADI SIGN VIRAMA"
"1133B","◌𑌻","COMBINING BINDU BELOW"
"1133C","◌𑌼","GRANTHA SIGN NUKTA"
"1133E","◌𑌾","GRANTHA VOWEL SIGN AA"
"1134D","◌𑍍","GRANTHA SIGN VIRAMA"
"11357","◌𑍗","GRANTHA AU LENGTH MARK"
"11366","◌𑍦","COMBINING GRANTHA DIGIT ZERO"
"11367","◌𑍧","COMBINING GRANTHA DIGIT ONE"
"11368","◌𑍨","COMBINING GRANTHA DIGIT TWO"
"11369","◌𑍩","COMBINING GRANTHA DIGIT THREE"
"1136A","◌𑍪","COMBINING GRANTHA DIGIT FOUR"
"1136B","◌𑍫","COMBINING GRANTHA DIGIT FIVE"
"1136C","◌𑍬","COMBINING GRANTHA DIGIT SIX"
"11370","◌𑍰","COMBINING GRANTHA LETTER A"
"11371","◌𑍱","COMBINING GRANTHA LETTER KA"
"11372","◌𑍲","COMBINING GRANTHA LETTER NA"
"11373","◌𑍳","COMBINING GRANTHA LETTER VI"
"11374","◌𑍴","COMBINING GRANTHA LETTER PA"
"11442","◌𑑂","NEWA SIGN VIRAMA"
"11446","◌𑑆","NEWA SIGN NUKTA"
"1145E","◌𑑞","NEWA SANDHI MARK"
"114B0","◌𑒰","TIRHUTA VOWEL SIGN AA"
"114BA","◌𑒺","TIRHUTA VOWEL SIGN SHORT E"
"114BD","◌𑒽","TIRHUTA VOWEL SIGN SHORT O"
"114C2","◌𑓂","TIRHUTA SIGN VIRAMA"
"114C3","◌𑓃","TIRHUTA SIGN NUKTA"
"115AF","◌𑖯","SIDDHAM VOWEL SIGN AA"
"115BF","◌𑖿","SIDDHAM SIGN VIRAMA"
"115C0","◌𑗀","SIDDHAM SIGN NUKTA"
"1163F","◌𑘿","MODI SIGN VIRAMA"
"116B6","◌𑚶","TAKRI SIGN VIRAMA"
"116B7","◌𑚷","TAKRI SIGN NUKTA"
"1172B","◌𑜫","AHOM SIGN KILLER"
"11839","◌𑠹","DOGRA SIGN VIRAMA"
"1183A","◌𑠺","DOGRA SIGN NUKTA"
"11930","◌𑤰","DIVES AKURU VOWEL SIGN AA"
"1193D","◌𑤽","DIVES AKURU SIGN HALANTA"
"1193E","◌𑤾","DIVES AKURU VIRAMA"
"11943","◌𑥃","DIVES AKURU SIGN NUKTA"
"119E0","◌𑧠","NANDINAGARI SIGN VIRAMA"
"11A34","◌𑨴","ZANABAZAR SQUARE SIGN VIRAMA"
"11A47","◌𑩇","ZANABAZAR SQUARE SUBJOINER"
"11A99","◌𑪙","SOYOMBO SUBJOINER"
"11C3F","◌𑰿","BHAIKSUKI SIGN VIRAMA"
"11D42","◌𑵂","MASARAM GONDI SIGN NUKTA"
"11D44","◌𑵄","MASARAM GONDI SIGN HALANTA"
"11D45","◌𑵅","MASARAM GONDI VIRAMA"
"11D97","◌𑶗","GUNJALA GONDI VIRAMA"
"11F41","◌𑽁","KAWI SIGN KILLER"
"11F42","◌𑽂","KAWI CONJOINER"
"16AF0","◌𖫰","BASSA VAH COMBINING HIGH TONE"
"16AF1","◌𖫱","BASSA VAH COMBINING LOW TONE"
